2014-04-14 19:47:57,525 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 19:47:57,525 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 19:47:57,525 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 19:47:57,525 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 19:47:57,525 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 19:47:57,525 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 19:48:48,786 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 19:48:59,062 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 19:48:59,062 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 19:48:59,392 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 19:48:59,392 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 19:48:59,593 - Left side ($field.size()) of '>' operation has null value at VM_global_library.vm[line 82, column 22]
2014-04-14 19:48:59,593 - Left side ($field.size()) of '>' operation has null value at VM_global_library.vm[line 82, column 22]
2014-04-14 19:48:59,593 - Left side ($field.size()) of '>' operation has null value at VM_global_library.vm[line 82, column 22]
2014-04-14 19:48:59,602 - Left side ($pivots.size()) of '>' operation has null value at VM_global_library.vm[line 124, column 23]
2014-04-14 19:48:59,602 - Left side ($pivots.size()) of '>' operation has null value at VM_global_library.vm[line 124, column 23]
2014-04-14 19:48:59,602 - Left side ($pivots.size()) of '>' operation has null value at VM_global_library.vm[line 124, column 23]
2014-04-14 19:48:59,646 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 19:48:59,646 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 19:48:59,646 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 20:28:59,269 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 20:28:59,269 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 20:28:59,269 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 20:29:45,809 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 20:29:45,809 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 20:30:05,553 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 22:50:53,518 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 22:50:53,518 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 22:50:53,766 - Left side ($field.size()) of '>' operation has null value at VM_global_library.vm[line 82, column 22]
2014-04-14 22:50:53,766 - Left side ($field.size()) of '>' operation has null value at VM_global_library.vm[line 82, column 22]
2014-04-14 22:50:53,766 - Left side ($field.size()) of '>' operation has null value at VM_global_library.vm[line 82, column 22]
2014-04-14 22:50:53,772 - Left side ($pivots.size()) of '>' operation has null value at VM_global_library.vm[line 124, column 23]
2014-04-14 22:50:53,772 - Left side ($pivots.size()) of '>' operation has null value at VM_global_library.vm[line 124, column 23]
2014-04-14 22:50:53,772 - Left side ($pivots.size()) of '>' operation has null value at VM_global_library.vm[line 124, column 23]
2014-04-14 22:50:53,798 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 22:50:53,798 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 22:50:53,798 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 22:50:54,317 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 22:50:54,317 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
2014-04-14 22:50:54,317 - Left side ($list.size($request.params.getParams('fq'))) of '>' operation has null value at footer.vm[line 10, column 79]
